epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5648,0.5895,0.2183,0.2183,-0.0556,0.4505,0.478,1.1882,1.422,1.1159
2,0.6991,0.6943,0.2314,0.2314,0.4375,0.688,0.6849,1.0409,1.2728,0.9762
3,0.7963,0.7686,0.2664,0.2183,0.6665,0.797,0.7701,0.8198,1.0487,0.7106
4,0.8657,0.8428,0.3755,0.3188,0.7345,0.866,0.8439,0.6636,0.8894,0.5246
5,0.8426,0.8166,0.441,0.3581,0.7459,0.8433,0.8183,0.6408,0.8623,0.4244
6,0.8102,0.7729,0.4323,0.3493,0.7487,0.8111,0.7747,0.6619,0.8873,0.3478
7,0.8657,0.8472,0.4585,0.3712,0.7712,0.8656,0.8478,0.5821,0.7953,0.295
8,0.8056,0.7729,0.4236,0.3406,0.7405,0.8062,0.7743,0.697,0.9181,0.2519
9,0.8704,0.8428,0.5066,0.4017,0.7747,0.8704,0.8437,0.5752,0.7854,0.2154
10,0.8611,0.821,0.476,0.3624,0.7797,0.8618,0.8227,0.5725,0.7871,0.2063
11,0.8565,0.8341,0.476,0.3843,0.7674,0.8564,0.8348,0.5942,0.814,0.1741
12,0.8565,0.8297,0.5066,0.4061,0.7815,0.857,0.8312,0.5692,0.7785,0.1843
13,0.8657,0.8341,0.4585,0.3755,0.7865,0.8663,0.8356,0.5688,0.7858,0.1582
14,0.8611,0.8341,0.5284,0.441,0.7821,0.8615,0.8353,0.5377,0.7384,0.1437
15,0.8565,0.8253,0.5066,0.393,0.7833,0.857,0.8269,0.547,0.7559,0.1258
16,0.8519,0.8253,0.5109,0.4105,0.7863,0.8522,0.8267,0.5465,0.7608,0.104
17,0.8611,0.8384,0.5415,0.4323,0.7861,0.8611,0.8393,0.5386,0.7468,0.1032
18,0.8472,0.8122,0.5109,0.4061,0.7843,0.8479,0.814,0.5651,0.7784,0.0937
19,0.8565,0.8341,0.524,0.4192,0.7835,0.8561,0.8346,0.5419,0.7505,0.0946
20,0.8611,0.8297,0.5371,0.4323,0.7785,0.8617,0.8313,0.5444,0.7494,0.0852
21,0.8472,0.821,0.4978,0.3886,0.7822,0.8479,0.8226,0.5492,0.762,0.0808
22,0.8611,0.8384,0.5371,0.4279,0.7814,0.8613,0.8395,0.5379,0.7421,0.0757
23,0.8519,0.8297,0.5459,0.4323,0.7835,0.8522,0.8309,0.5455,0.7559,0.0686
24,0.8565,0.8297,0.5371,0.4192,0.7918,0.8564,0.8306,0.5239,0.7339,0.0708
25,0.8519,0.8253,0.524,0.4236,0.7841,0.8519,0.8263,0.542,0.749,0.0662
26,0.8472,0.8166,0.5328,0.4236,0.7839,0.8477,0.8181,0.545,0.7481,0.0647
27,0.8704,0.8472,0.5546,0.4367,0.7941,0.8704,0.848,0.5162,0.7275,0.0606
28,0.8472,0.8253,0.5415,0.4323,0.7881,0.8469,0.8259,0.5277,0.7314,0.0565
29,0.8565,0.8297,0.5633,0.4498,0.7873,0.8564,0.8306,0.5261,0.7246,0.0565
30,0.8333,0.8122,0.4934,0.393,0.7763,0.8337,0.8136,0.5454,0.7553,0.0577
31,0.8472,0.8253,0.5153,0.4192,0.7854,0.8471,0.8261,0.5312,0.7389,0.046
32,0.8657,0.8428,0.5153,0.4017,0.7884,0.8649,0.8428,0.5257,0.7349,0.0483
33,0.8472,0.8253,0.5153,0.4105,0.7874,0.8475,0.8265,0.5405,0.7548,0.0463
34,0.8472,0.8253,0.5153,0.4192,0.7814,0.8473,0.8263,0.5399,0.7446,0.0441
35,0.8519,0.8297,0.5546,0.4498,0.7891,0.8522,0.8309,0.5161,0.72,0.042
