epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.588,0.607,0.2096,0.2096,0.1825,0.5409,0.5609,1.166,1.4001,1.0777
2,0.6806,0.6725,0.2271,0.2271,0.4322,0.6735,0.6675,1.0394,1.271,0.9362
3,0.8102,0.7817,0.3493,0.2926,0.6694,0.8112,0.7837,0.7743,1.0032,0.6784
4,0.8287,0.7948,0.4061,0.3406,0.7119,0.8296,0.7967,0.6974,0.9243,0.5017
5,0.8194,0.7904,0.3668,0.3231,0.6907,0.82,0.7922,0.728,0.953,0.395
6,0.8472,0.8253,0.4279,0.345,0.745,0.8456,0.8246,0.6368,0.8531,0.356
7,0.8102,0.7729,0.4192,0.3231,0.7284,0.8112,0.7749,0.7003,0.9248,0.3051
8,0.8472,0.8166,0.4061,0.3144,0.7305,0.8477,0.8181,0.6547,0.8767,0.2482
9,0.8426,0.8122,0.4629,0.3799,0.7441,0.8428,0.8136,0.6302,0.8478,0.2129
10,0.8704,0.8384,0.4847,0.393,0.7573,0.8705,0.8396,0.6036,0.8179,0.2085
11,0.8565,0.8253,0.5066,0.3843,0.767,0.8556,0.8256,0.6159,0.8296,0.1877
12,0.8426,0.821,0.4847,0.3799,0.7541,0.8424,0.8217,0.6089,0.8204,0.171
13,0.8796,0.8472,0.4716,0.3843,0.7575,0.8799,0.8484,0.6023,0.816,0.1518
14,0.8565,0.8297,0.4847,0.3799,0.7732,0.8561,0.8304,0.5622,0.7743,0.1462
15,0.8426,0.8166,0.5328,0.441,0.784,0.8418,0.8169,0.5403,0.7504,0.1264
16,0.8472,0.8166,0.4192,0.345,0.7632,0.8477,0.8181,0.6217,0.8437,0.1162
17,0.8472,0.8297,0.5066,0.4017,0.776,0.8471,0.8304,0.5666,0.7824,0.1135
18,0.8657,0.8384,0.5066,0.4061,0.7787,0.8654,0.8391,0.5513,0.7607,0.1034
19,0.8472,0.8166,0.4978,0.4017,0.7822,0.8478,0.8182,0.5566,0.7705,0.0888
20,0.8565,0.8253,0.4978,0.4017,0.7806,0.857,0.8269,0.5637,0.7781,0.0882
