epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5463,0.5677,0.2096,0.2096,0.0304,0.4271,0.4534,1.1825,1.4175,1.0701
2,0.6296,0.6419,0.2664,0.2227,0.4084,0.5795,0.594,1.0245,1.2564,0.942
3,0.8241,0.8035,0.3362,0.2751,0.659,0.8232,0.8037,0.7677,0.9933,0.6902
4,0.838,0.8166,0.3886,0.3188,0.7001,0.837,0.8166,0.7145,0.9395,0.5506
5,0.838,0.8079,0.4148,0.3319,0.735,0.8376,0.8087,0.6464,0.8715,0.4515
6,0.8194,0.7991,0.4192,0.3275,0.7371,0.8187,0.7995,0.6345,0.8547,0.4011
7,0.8287,0.8035,0.4192,0.3319,0.723,0.8288,0.8047,0.6554,0.8772,0.3375
8,0.8426,0.821,0.4629,0.3755,0.7548,0.8411,0.8204,0.6208,0.8315,0.2832
9,0.8241,0.8035,0.4803,0.393,0.7422,0.8215,0.8021,0.6238,0.8343,0.2503
10,0.8426,0.8166,0.4891,0.4148,0.7583,0.8415,0.8166,0.6221,0.8323,0.2309
11,0.8426,0.8122,0.4541,0.3537,0.7627,0.8431,0.8139,0.5921,0.8061,0.2014
12,0.8657,0.8384,0.4847,0.3799,0.7789,0.8649,0.8386,0.5649,0.7863,0.1825
13,0.8472,0.8253,0.5153,0.4236,0.7753,0.8463,0.8253,0.5504,0.7603,0.1706
14,0.8333,0.8079,0.524,0.4192,0.7711,0.8336,0.8092,0.5636,0.7753,0.1339
15,0.8472,0.8384,0.4891,0.3886,0.7681,0.8456,0.8372,0.5592,0.7726,0.1348
16,0.8426,0.821,0.4934,0.3886,0.7782,0.8418,0.8211,0.5538,0.7622,0.1361
17,0.8611,0.8341,0.4978,0.4017,0.7763,0.8607,0.8346,0.5442,0.7507,0.1114
18,0.8565,0.8297,0.5109,0.4105,0.7661,0.857,0.8312,0.5744,0.7895,0.1032
19,0.8519,0.8297,0.5109,0.4105,0.7703,0.852,0.8308,0.5643,0.7756,0.0922
20,0.8472,0.821,0.4847,0.3799,0.7647,0.8481,0.8227,0.5794,0.7934,0.0921
21,0.8472,0.821,0.5197,0.4105,0.7878,0.8475,0.8223,0.539,0.7438,0.0923
22,0.838,0.8122,0.5153,0.4105,0.7848,0.8383,0.8136,0.5496,0.7619,0.0859
23,0.8472,0.8253,0.5109,0.4061,0.7869,0.8469,0.8259,0.5351,0.7426,0.0717
24,0.838,0.8122,0.5022,0.4105,0.7725,0.8386,0.8139,0.5427,0.7498,0.0664
25,0.8611,0.8472,0.5328,0.4236,0.7949,0.8607,0.8473,0.5222,0.7263,0.0716
26,0.8519,0.8253,0.5284,0.4236,0.7843,0.852,0.8265,0.5309,0.7374,0.0703
27,0.8519,0.8253,0.5153,0.4061,0.7864,0.8526,0.827,0.5379,0.7481,0.0582
28,0.8796,0.8515,0.5109,0.4017,0.7887,0.8794,0.8522,0.5342,0.7439,0.0614
29,0.8611,0.8341,0.5371,0.4279,0.7885,0.8615,0.8353,0.5256,0.7357,0.0529
