epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5787,0.5983,0.1921,0.1921,0.2781,0.477,0.5005,1.1252,1.3619,1.0639
2,0.6713,0.6769,0.2707,0.262,0.4678,0.653,0.6597,0.9921,1.2256,0.9414
3,0.8287,0.8079,0.3537,0.2926,0.6733,0.8286,0.8087,0.7423,0.9661,0.7287
4,0.838,0.8166,0.4061,0.3144,0.7235,0.837,0.8166,0.6581,0.8819,0.5382
5,0.8519,0.8297,0.4541,0.3537,0.7377,0.852,0.8308,0.6274,0.8447,0.4362
6,0.8472,0.8166,0.4716,0.3843,0.7473,0.8478,0.8182,0.6231,0.8377,0.3554
7,0.8519,0.8297,0.4716,0.3755,0.7581,0.8524,0.8311,0.5927,0.8108,0.3022
8,0.8565,0.8253,0.4716,0.3755,0.7555,0.8561,0.8261,0.6063,0.8204,0.2446
9,0.8611,0.8297,0.4716,0.3624,0.7696,0.8609,0.8306,0.582,0.8011,0.2078
10,0.8472,0.8166,0.5153,0.4105,0.7803,0.8478,0.8182,0.575,0.7878,0.1959
11,0.8611,0.8253,0.4672,0.3755,0.7787,0.8616,0.8269,0.5707,0.7835,0.1694
12,0.8333,0.8079,0.5066,0.4105,0.783,0.8331,0.8087,0.5996,0.8084,0.1605
13,0.8611,0.8253,0.5022,0.4061,0.7889,0.8613,0.8267,0.5314,0.7352,0.1665
14,0.8565,0.8253,0.4891,0.4061,0.7745,0.8569,0.8268,0.5888,0.8081,0.1433
15,0.8519,0.8166,0.4934,0.3974,0.7874,0.8524,0.8182,0.5424,0.758,0.1283
16,0.8611,0.8297,0.5197,0.4192,0.7886,0.8611,0.8308,0.5327,0.7423,0.1126
17,0.8519,0.821,0.5022,0.4148,0.7872,0.8516,0.8219,0.5342,0.7444,0.1013
18,0.8611,0.8297,0.5284,0.4236,0.7895,0.8615,0.8311,0.5307,0.7406,0.1018
19,0.8611,0.8384,0.5197,0.4192,0.7944,0.8604,0.8386,0.5294,0.7415,0.0853
20,0.8657,0.8297,0.5284,0.4236,0.7928,0.8656,0.8308,0.5287,0.7384,0.0781
21,0.8704,0.8384,0.4978,0.4061,0.7889,0.8707,0.8397,0.5571,0.7737,0.075
22,0.8611,0.8297,0.5284,0.4192,0.7966,0.8611,0.8308,0.5195,0.7323,0.0832
23,0.8611,0.8297,0.5459,0.4541,0.7885,0.8609,0.8306,0.5313,0.7366,0.0666
24,0.8611,0.8341,0.5066,0.4061,0.7931,0.8613,0.8352,0.5269,0.7358,0.0661
25,0.8657,0.8384,0.5459,0.4498,0.7935,0.866,0.8396,0.5148,0.718,0.069
26,0.8565,0.8253,0.559,0.4585,0.7943,0.8569,0.8268,0.5086,0.7135,0.0572
27,0.8657,0.8297,0.5459,0.4629,0.7889,0.866,0.8311,0.5275,0.7335,0.0634
28,0.8565,0.8297,0.5153,0.4148,0.7957,0.8568,0.8309,0.5192,0.7259,0.057
29,0.8657,0.8384,0.5066,0.4061,0.7902,0.866,0.8396,0.5308,0.7425,0.0566
30,0.8565,0.8297,0.5546,0.4585,0.7908,0.8566,0.8308,0.5214,0.7256,0.0553
31,0.8704,0.8384,0.5109,0.4061,0.7897,0.8707,0.8397,0.5235,0.731,0.0508
32,0.8657,0.8341,0.5546,0.441,0.7966,0.8661,0.8355,0.514,0.7241,0.0489
33,0.8704,0.8341,0.5109,0.4236,0.7866,0.871,0.8357,0.5277,0.7335,0.0461
34,0.8611,0.8341,0.5502,0.4454,0.7941,0.8615,0.8353,0.5116,0.7188,0.0491
35,0.8657,0.8384,0.5546,0.4629,0.7886,0.8661,0.8397,0.5152,0.7173,0.0448
36,0.8611,0.8341,0.5328,0.4279,0.7921,0.8611,0.835,0.5191,0.7273,0.0463
37,0.8704,0.8384,0.559,0.4585,0.7876,0.8705,0.8396,0.5219,0.7275,0.045
38,0.8565,0.8253,0.5459,0.4498,0.787,0.8569,0.8268,0.5219,0.726,0.0405
39,0.8704,0.8428,0.5371,0.4367,0.7928,0.8705,0.8439,0.5162,0.7195,0.0379
40,0.8565,0.8297,0.5459,0.4367,0.7928,0.8564,0.8306,0.5304,0.7413,0.0399
41,0.8519,0.8253,0.5459,0.441,0.7895,0.8519,0.8263,0.5269,0.7399,0.0368
42,0.8657,0.8384,0.5284,0.4192,0.7915,0.866,0.8396,0.5115,0.7181,0.0369
43,0.8565,0.8297,0.5371,0.4279,0.7935,0.8569,0.8311,0.5148,0.7247,0.0354
44,0.8657,0.8341,0.5415,0.4367,0.7981,0.8661,0.8355,0.5072,0.7159,0.0332
45,0.8611,0.8341,0.5284,0.4236,0.7906,0.8611,0.835,0.515,0.7236,0.0334
46,0.8704,0.8428,0.5677,0.4585,0.7985,0.8702,0.8435,0.5023,0.7111,0.0355
47,0.8611,0.8341,0.5371,0.4367,0.7962,0.8611,0.835,0.5096,0.7168,0.0299
48,0.8472,0.8166,0.5415,0.4367,0.792,0.8473,0.8178,0.5106,0.7192,0.0347
49,0.8611,0.8341,0.5415,0.4323,0.7886,0.8615,0.8353,0.5164,0.7239,0.0317
50,0.8611,0.8341,0.5633,0.4629,0.7964,0.8613,0.8352,0.5127,0.7213,0.0341
51,0.8565,0.8297,0.5677,0.4585,0.7935,0.8569,0.8311,0.5065,0.7127,0.0304
52,0.8657,0.8384,0.5459,0.4367,0.7873,0.866,0.8396,0.5212,0.729,0.0283
53,0.8704,0.8428,0.5459,0.4454,0.7918,0.8702,0.8435,0.5161,0.7225,0.0284
54,0.8704,0.8428,0.5502,0.4454,0.7923,0.8705,0.8439,0.5145,0.7241,0.0295
55,0.8611,0.8341,0.559,0.4454,0.7912,0.8615,0.8353,0.5157,0.7237,0.0299
56,0.8611,0.8341,0.5633,0.4585,0.7939,0.8615,0.8353,0.5187,0.7279,0.028
57,0.8704,0.8428,0.5197,0.4105,0.7894,0.8705,0.8439,0.5242,0.7322,0.0283
58,0.8657,0.8384,0.5328,0.4192,0.7921,0.866,0.8396,0.5176,0.7285,0.028
59,0.8611,0.8341,0.5546,0.4498,0.7916,0.8615,0.8353,0.516,0.7252,0.0253
60,0.8611,0.8341,0.5415,0.4367,0.7871,0.8615,0.8353,0.5193,0.7295,0.0256
61,0.8657,0.8384,0.5328,0.4323,0.7898,0.866,0.8396,0.516,0.7264,0.0261
62,0.8611,0.8341,0.5328,0.4279,0.7914,0.8613,0.8352,0.5143,0.725,0.0258
63,0.8657,0.8341,0.5459,0.441,0.7886,0.866,0.8353,0.5185,0.7268,0.0241
64,0.8657,0.8384,0.524,0.4236,0.7894,0.866,0.8396,0.5165,0.7249,0.0243
65,0.8657,0.8384,0.5677,0.4672,0.7985,0.866,0.8396,0.5017,0.7077,0.0247
66,0.8657,0.8341,0.559,0.4585,0.796,0.866,0.8353,0.512,0.7204,0.0233
67,0.8657,0.8384,0.5415,0.441,0.7913,0.8658,0.8395,0.5156,0.7264,0.0228
68,0.8704,0.8428,0.5459,0.4367,0.7942,0.8705,0.8439,0.5141,0.7236,0.0219
69,0.8657,0.8384,0.5546,0.4585,0.7969,0.866,0.8396,0.5132,0.7225,0.0231
70,0.8657,0.8384,0.5415,0.4323,0.7971,0.8658,0.8395,0.5035,0.7118,0.0195
71,0.8657,0.8384,0.5328,0.4323,0.7965,0.866,0.8396,0.5108,0.7229,0.0214
72,0.8657,0.8384,0.5415,0.4323,0.7928,0.8658,0.8395,0.5091,0.72,0.0215
73,0.8611,0.8341,0.524,0.4192,0.7912,0.8615,0.8353,0.5126,0.7224,0.0209
74,0.8657,0.8384,0.5502,0.441,0.7933,0.866,0.8396,0.5078,0.7176,0.0181
75,0.8704,0.8428,0.5459,0.441,0.7925,0.8705,0.8439,0.5069,0.7166,0.0201
76,0.8657,0.8384,0.5459,0.441,0.7934,0.866,0.8396,0.5082,0.718,0.02
77,0.8657,0.8384,0.5502,0.4454,0.7937,0.866,0.8396,0.512,0.7228,0.0206
78,0.8657,0.8384,0.5153,0.4105,0.7905,0.866,0.8396,0.5193,0.7321,0.02
79,0.8657,0.8384,0.5284,0.4323,0.7923,0.866,0.8396,0.512,0.7236,0.0201
80,0.8657,0.8384,0.524,0.4192,0.7902,0.8658,0.8395,0.52,0.7352,0.0171
81,0.8657,0.8384,0.5415,0.4323,0.7919,0.866,0.8396,0.5156,0.7279,0.0165
82,0.8611,0.8341,0.5415,0.4367,0.7938,0.8615,0.8353,0.5134,0.726,0.0182
83,0.8611,0.8341,0.5633,0.4498,0.7918,0.8615,0.8353,0.5148,0.7262,0.017
84,0.8704,0.8428,0.5153,0.4148,0.7923,0.8705,0.8439,0.5132,0.7253,0.0176
85,0.8657,0.8384,0.5371,0.4323,0.7901,0.866,0.8396,0.52,0.734,0.0176
86,0.8704,0.8428,0.5502,0.441,0.7937,0.8705,0.8439,0.5128,0.7248,0.017
87,0.8657,0.8384,0.5328,0.4279,0.7918,0.866,0.8396,0.5163,0.7297,0.0177
88,0.8704,0.8428,0.5415,0.4367,0.7956,0.8705,0.8439,0.5103,0.7213,0.0173
89,0.8657,0.8384,0.559,0.4541,0.7926,0.866,0.8396,0.5125,0.7246,0.0163
90,0.8657,0.8384,0.5459,0.441,0.7926,0.866,0.8396,0.5127,0.7253,0.0153
91,0.8611,0.8341,0.5459,0.441,0.7924,0.8615,0.8353,0.5138,0.7255,0.0161
92,0.8657,0.8384,0.5459,0.441,0.7905,0.866,0.8396,0.5192,0.7326,0.0166
93,0.8657,0.8384,0.5371,0.4367,0.7913,0.866,0.8396,0.5158,0.7273,0.0157
94,0.8657,0.8384,0.5415,0.4367,0.7925,0.866,0.8396,0.514,0.7258,0.0155
95,0.8657,0.8384,0.5415,0.441,0.7934,0.866,0.8396,0.5152,0.7273,0.016
