epoch,Acc2,Acc2_has0,Acc5,Acc7,Corr,F1,F1_has0,Loss,MAE,train_loss
1,0.5741,0.5939,0.2358,0.2358,0.2086,0.5164,0.5377,1.1478,1.3804,1.0629
2,0.7222,0.7118,0.2489,0.2402,0.5123,0.7189,0.71,0.9521,1.1797,0.9467
3,0.8148,0.7817,0.393,0.3144,0.6995,0.8157,0.7834,0.7355,0.9597,0.6933
4,0.838,0.8079,0.441,0.3493,0.7389,0.8384,0.8095,0.6236,0.8451,0.5333
5,0.838,0.8253,0.4236,0.3319,0.7311,0.8373,0.8253,0.6582,0.8757,0.4628
6,0.8472,0.8253,0.4803,0.3755,0.7681,0.8466,0.8256,0.5867,0.7978,0.387
7,0.8333,0.7991,0.4891,0.3755,0.7621,0.8339,0.8009,0.5919,0.8035,0.3491
8,0.8287,0.7948,0.4716,0.3712,0.7677,0.8296,0.7968,0.5908,0.7967,0.2889
9,0.8426,0.821,0.4934,0.3843,0.7646,0.8428,0.8221,0.5781,0.7889,0.2453
10,0.838,0.8035,0.4847,0.3799,0.7698,0.8387,0.8054,0.5851,0.7997,0.2337
11,0.8287,0.8035,0.4934,0.393,0.768,0.8295,0.8053,0.5765,0.7837,0.2126
12,0.8426,0.8122,0.5371,0.4367,0.7672,0.8428,0.8136,0.563,0.7713,0.1735
13,0.8472,0.8166,0.4934,0.4105,0.7775,0.8477,0.8181,0.5931,0.8066,0.1906
14,0.8241,0.7904,0.4978,0.3974,0.7773,0.8248,0.7924,0.5481,0.7558,0.1721
15,0.838,0.8122,0.5284,0.4279,0.7799,0.8378,0.8132,0.5496,0.7547,0.1319
16,0.8657,0.8341,0.5197,0.4236,0.793,0.8654,0.8348,0.5279,0.7376,0.1257
17,0.8657,0.8515,0.5109,0.3974,0.7784,0.8646,0.8509,0.5448,0.753,0.1147
18,0.8565,0.8297,0.5284,0.4279,0.7851,0.8561,0.8304,0.5341,0.7423,0.1121
19,0.8472,0.8166,0.5066,0.4105,0.7906,0.8478,0.8182,0.5319,0.7417,0.1
20,0.8333,0.7948,0.4978,0.3974,0.777,0.8339,0.7967,0.5437,0.7494,0.0858
21,0.8565,0.8253,0.524,0.4367,0.7904,0.8568,0.8267,0.5183,0.7186,0.0812
22,0.8426,0.8122,0.5109,0.4192,0.7876,0.8431,0.8139,0.5281,0.7325,0.0756
23,0.8565,0.8341,0.5371,0.4323,0.7905,0.8561,0.8346,0.5177,0.7183,0.0779
24,0.8333,0.8035,0.5328,0.4454,0.7785,0.8339,0.8052,0.5431,0.7441,0.0783
25,0.8472,0.8166,0.5415,0.4498,0.7869,0.8473,0.8178,0.5232,0.7295,0.07
26,0.8657,0.8341,0.5415,0.4498,0.7917,0.8656,0.835,0.5209,0.7238,0.0668
27,0.8519,0.821,0.5546,0.4672,0.797,0.852,0.8223,0.5135,0.7203,0.0601
28,0.8565,0.8341,0.5109,0.4236,0.7949,0.855,0.8334,0.5294,0.7351,0.0588
29,0.8472,0.821,0.5502,0.4498,0.7891,0.8475,0.8223,0.5105,0.7141,0.0623
30,0.8565,0.8297,0.5415,0.4541,0.7932,0.8568,0.8309,0.5185,0.7234,0.0518
31,0.8519,0.8166,0.5197,0.4236,0.7939,0.8524,0.8182,0.5286,0.7343,0.0563
32,0.8611,0.8341,0.524,0.4323,0.798,0.8604,0.8343,0.5143,0.7247,0.0531
33,0.8611,0.8297,0.5371,0.4367,0.7963,0.8611,0.8308,0.5056,0.7128,0.0428
34,0.838,0.8122,0.5022,0.4017,0.7875,0.8387,0.814,0.5334,0.742,0.0482
35,0.8611,0.8384,0.5109,0.4192,0.7975,0.8604,0.8386,0.5215,0.7282,0.0467
36,0.8426,0.8079,0.5284,0.4367,0.7846,0.8434,0.8097,0.5334,0.7373,0.0459
37,0.8426,0.8166,0.5371,0.441,0.7885,0.8428,0.8178,0.5253,0.7325,0.0452
38,0.838,0.8122,0.5066,0.4148,0.7833,0.8384,0.8137,0.5272,0.7322,0.0421
39,0.8287,0.7991,0.524,0.4367,0.7908,0.8292,0.8008,0.5236,0.7332,0.0423
40,0.8472,0.821,0.5415,0.4498,0.7936,0.8471,0.8219,0.5138,0.7199,0.0421
41,0.838,0.8122,0.5371,0.4454,0.7969,0.8373,0.8127,0.5113,0.7169,0.0385
42,0.8519,0.8253,0.5371,0.4541,0.7932,0.8516,0.8261,0.5319,0.7431,0.0349
43,0.8333,0.8079,0.5328,0.4236,0.799,0.8333,0.809,0.5219,0.7332,0.0433
44,0.8472,0.821,0.524,0.4323,0.7958,0.8471,0.8219,0.5159,0.7272,0.036
45,0.8472,0.821,0.524,0.4236,0.7974,0.8475,0.8223,0.5037,0.7064,0.0346
46,0.838,0.8122,0.5284,0.4367,0.801,0.8373,0.8127,0.5105,0.717,0.0327
47,0.8519,0.8253,0.5328,0.4236,0.799,0.8522,0.8267,0.5091,0.7147,0.0311
48,0.8519,0.8253,0.524,0.4323,0.804,0.8514,0.8259,0.5088,0.7177,0.0342
49,0.8472,0.821,0.5328,0.4323,0.7935,0.8478,0.8225,0.5165,0.7229,0.0315
50,0.8565,0.8297,0.5328,0.4323,0.7984,0.8569,0.8311,0.5053,0.7098,0.0306
51,0.8426,0.8166,0.5153,0.4017,0.7945,0.843,0.818,0.5226,0.7311,0.0302
52,0.8472,0.821,0.5197,0.4279,0.796,0.8477,0.8224,0.5202,0.7301,0.0285
53,0.8333,0.8079,0.5546,0.4629,0.7937,0.8336,0.8092,0.5154,0.7202,0.0358
54,0.8333,0.8079,0.5371,0.441,0.7953,0.8337,0.8093,0.5159,0.724,0.0284
55,0.8519,0.8253,0.5284,0.4236,0.7971,0.8522,0.8267,0.5123,0.7182,0.0253
56,0.8519,0.8253,0.524,0.4323,0.7981,0.8522,0.8267,0.5166,0.7284,0.0295
57,0.8565,0.8297,0.5328,0.4323,0.8002,0.8569,0.8311,0.5126,0.7254,0.0256
58,0.8287,0.8035,0.5109,0.4192,0.7962,0.8288,0.8047,0.5181,0.7284,0.0251
59,0.8333,0.8079,0.5328,0.441,0.7966,0.8333,0.809,0.5152,0.7251,0.0269
60,0.8472,0.821,0.5459,0.4541,0.7997,0.8475,0.8223,0.5031,0.7131,0.0241
61,0.8519,0.8253,0.5371,0.441,0.7934,0.8524,0.8268,0.5138,0.7201,0.0248
62,0.8426,0.8166,0.5328,0.4367,0.7925,0.843,0.818,0.5108,0.7172,0.025
63,0.8519,0.8253,0.5284,0.4323,0.7932,0.8522,0.8267,0.5143,0.7228,0.0254
64,0.8472,0.821,0.4978,0.4017,0.7861,0.8477,0.8224,0.5292,0.7394,0.0239
