exp,vf,lr,do,gc,ismd,ds,wd,ema,nl,vself,sub_l,aux,mixer,bs,test_mae,test_acc2,test_acc7,test_corr,val_mae,val_acc2,val_acc7
vf_openface3,openface3,e,0.3,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6825,0.8843,0.4760
vf_clip,clip,e,0.3,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6896,0.8704,0.4891
vf_dinov3,dinov3,e,0.3,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6869,0.8843,0.4891
vf_videomae,videomae,e,0.3,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6807,0.8796,0.4760
core_lr2e-4_do0.2_ismd2,videomae,e,0.2,0.1,2,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6868,0.8704,0.4585
core_lr2e-4_do0.2_ismd3,videomae,e,0.2,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6751,0.8796,0.4847
core_lr2e-4_do0.3_ismd2,videomae,e,0.3,0.1,2,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6727,0.8843,0.4672
core_lr2e-4_do0.3_ismd3,videomae,e,0.3,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6740,0.8796,0.4934
core_lr3e-4_do0.2_ismd2,videomae,e,0.2,0.1,2,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.7014,0.8704,0.4672
core_lr3e-4_do0.2_ismd3,videomae,e,0.2,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6839,0.8750,0.4760
core_lr3e-4_do0.3_ismd2,videomae,e,0.3,0.1,2,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6924,0.8750,0.4672
core_lr3e-4_do0.3_ismd3,videomae,e,0.3,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6812,0.8796,0.4716
core_lr5e-4_do0.2_ismd2,videomae,e,0.2,0.1,2,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6904,0.8704,0.4716
core_lr5e-4_do0.2_ismd3,videomae,e,0.2,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6836,0.8750,0.4847
core_lr5e-4_do0.3_ismd2,videomae,e,0.3,0.1,2,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6884,0.8750,0.4629
core_lr5e-4_do0.3_ismd3,videomae,e,0.3,0.1,3,64,0.0001,0,2,0,0,0,bimamba,16,-1,-1,-1,-1,0.6758,0.8796,0.4672
